rs,t_iis,t_ijs,gamma_iis,gamma_ijs,Huckels,PPPs,ES0s_PPP,ES1s_PPP,ET1s_PPP,ESs_CIS,ETs_CIS
1.47,-16.60785430163584,-2.451160504460542,11.328222064675234,7.206525978844451,-38.118029612192764,-36.05718156927737,-29.26621441566541,-21.887486538596445,-26.00918262442723,6.963169051836477,2.8414729660056928
1.48,-16.592164753622125,-2.410836512014073,11.322390338529415,7.195024680069422,-38.006002531272394,-35.94231970204239,-29.170363895340685,-21.861939168714834,-25.989304827174827,6.885355853258144,2.7579901947981504
1.49,-16.576544850507826,-2.371175888761041,11.31634249457166,7.183500856388006,-37.895441478537734,-35.8290206594459,-29.076174441861145,-21.83674720644399,-25.969588844627644,6.808772596613911,2.675930958430259
1.5,-16.5609925946767,-2.332167721628104,11.310067720570691,7.171955183167311,-37.78632063260961,-35.717264363907915,-28.98362196857675,-21.81191746878271,-25.95003000618609,6.733391711957902,2.5952791745545216
1.51,-16.545506080541056,-2.2938012770726814,11.303554519579318,7.160388330333186,-37.678614715227475,-35.6070316206044,-28.892682927693425,-21.787457641502794,-25.930623830748928,6.659185648768428,2.5160194595222976
1.52,-16.530083490206405,-2.2560659981294786,11.296790657233712,7.148800962333917,-37.57229897667177,-35.498304129221864,-28.803334297648018,-21.763376323179095,-25.911366018078894,6.586126843708858,2.438137148809062
1.53,-16.514723089360828,-2.218951501505633,11.289763104259,7.13719373810604,-37.46734918173292,-35.391064498656434,-28.71555357159673,-21.739683074462654,-25.892252440615614,6.51418768608775,2.3616183199347898
1.54,-16.49942322337577,-2.1824475747236187,11.282457973676266,7.125567311042204,-37.36374159619878,-35.285296264881744,-28.629318747066304,-21.716388473075277,-25.87327913570934,6.44334048076427,2.286449818130208
1.55,-16.484182313605913,-2.1465441733111787,11.274860452145486,7.113922328961079,-37.26145297383418,-35.18098391224197,-28.544608316828377,-21.69350417506634,-25.854442298250746,6.373557408214561,2.212619285030156
1.56,-16.468998853876553,-2.1112314180374634,11.266954724810049,7.102259434079257,-37.16046054382803,-35.07811289846263,-28.461401261069675,-21.671042982943057,-25.835738273673847,6.304810481440324,2.1401151907095333
1.57,-16.453871407147673,-2.076499592194657,11.25872389293033,7.090579262985134,-37.06074199868466,-34.97666968371206,-28.37967704094443,-21.649018921365016,-25.817163551310212,6.237071499361914,2.0689268694167176
1.58,-16.43879860234469,-2.0423391389243064,11.250149883504601,7.078882446614727,-36.96227548253799,-34.87664176409305,-28.299415593611005,-21.62744732118478,-25.798714758074652,6.170311996293551,1.9990445594036768
1.59,-16.423779131346322,-2.0087406585876497,11.24121334997393,7.067169610229401,-36.86503957986794,-34.77801770999567,-28.22059732887175,-21.60634491271871,-25.780388652463245,6.104503187047566,1.930459447303038
1.6,-16.40881174612087,-1.9756949061791877,11.231893562991475,7.055441373395471,-36.769013304600115,-34.680787209802105,-28.143203127555168,-21.585729929250263,-25.762182118846265,6.039615907156374,1.8631637175603721
